,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8681,20200417,facsniagara.on.ca,https://www.facsniagara.on.ca/covid-19-updates/,text/html,text/html,en,"COVID-19 Updates – Family and Children's Services Niagara Skip to content facebooktwitterlinkedin Home CAREERS ACCOUNTABILITY Contact Us Login ENG. FR. CHILD PROTECTION PROGRAMS Child Care West Niagara Resource Consultants New Outlooks and Beginnings COUNSELLING FOSTER ADOPT VOLUNTEER FUNDRAISING COVID-19 Updates A Message for our Community, April 15, 2020 (PDF | Word) FACS Niagara and Covid-19 Frequently Asked Questions, April 15, 2020 (PDF | Word) FACS Niagara Message Regarding COVID-19 The health and well-being of our community, staff, caregivers and partners are our primary concern. With the current outbreak of COVID-19, we continue to follow recommendations from public health officials, which includes physical infection prevention through social distancing practices. In order to reduce person-to-person contact, we have temporarily suspended on-site operations in our two branch offices in Welland and Niagara Falls until further notice. Our St. Catharines site will remain operational, however, to reduce the spread of the COVID-19 virus, a number of recommendations have been implemented. Where feasible, we will be limiting access to the St. Catharines office to essential persons, as well as asking those who attend the office a series of screening questions and asking them to sanitize their hands. We would ask that anyone who plans to attend the St. Catharines office to please call ahead. Many of our staff will be working remotely during this time and will be accessible via phone or e-mail regarding child protection services. We have also undertaken several initiatives to ensure continuing safety of all persons, including, but not limited to social distancing practices for any on-site work. Events and conferences and non-essential meetings planned during this time period have also been postponed. We want to assure the community, and our children and families that we are continuing to provide protection services to the Niagara community. These services can be accessed by contacting us at 905 937 7731; 24 hours a day, 7 days a week. We appreciate your patience and understanding and will keep you informed of any changes that may impact our services as we move forward. Thank you. IMPORTANT NOTICE Children’s Aid Societies and Indigenous Child and Family Well-Being Agencies in Ontario ARE continuing their child protection services. We are NOT closed. Although agencies across the province have modified their business practices to respond to health and safety concerns, their core protection services continue. If any member of the public or professional have a concern about the safety and/or well-being of a child or youth under 18, they should immediately contact their local Children’s Aid Societies or Indigenous Child and Family Well-Being Agency. A list of local contact information for these agencies are available here: http://www.oacas.org/childrens-aid-child-protection/locate-a-childrens-aid-society/ FACS NIAGARA ABOUT US CONTACT CAREERS ACCESSIBILITY ACCOUNTABILITY SOCIAL MEDIA DISCLAIMER TERMS & CONDITIONS SITEMAP Tweets by FACSNiagara ©2019 Family and Children’s Services Niagara facebooktwitterlinkedin"
8682,20200417,facsniagara.on.ca,https://www.facsniagara.on.ca/covid-19-updates/,text/html,text/html,en,"COVID-19 Updates – Family and Children's Services Niagara Skip to content facebooktwitterlinkedin Home CAREERS ACCOUNTABILITY Contact Us Login ENG. FR. CHILD PROTECTION PROGRAMS Child Care West Niagara Resource Consultants New Outlooks and Beginnings COUNSELLING FOSTER ADOPT VOLUNTEER FUNDRAISING COVID-19 Updates A Message for our Community, April 15, 2020 (PDF | Word) FACS Niagara and Covid-19 Frequently Asked Questions, April 15, 2020 (PDF | Word) FACS Niagara Message Regarding COVID-19 The health and well-being of our community, staff, caregivers and partners are our primary concern. With the current outbreak of COVID-19, we continue to follow recommendations from public health officials, which includes physical infection prevention through social distancing practices. In order to reduce person-to-person contact, we have temporarily suspended on-site operations in our two branch offices in Welland and Niagara Falls until further notice. Our St. Catharines site will remain operational, however, to reduce the spread of the COVID-19 virus, a number of recommendations have been implemented. Where feasible, we will be limiting access to the St. Catharines office to essential persons, as well as asking those who attend the office a series of screening questions and asking them to sanitize their hands. We would ask that anyone who plans to attend the St. Catharines office to please call ahead. Many of our staff will be working remotely during this time and will be accessible via phone or e-mail regarding child protection services. We have also undertaken several initiatives to ensure continuing safety of all persons, including, but not limited to social distancing practices for any on-site work. Events and conferences and non-essential meetings planned during this time period have also been postponed. We want to assure the community, and our children and families that we are continuing to provide protection services to the Niagara community. These services can be accessed by contacting us at 905 937 7731; 24 hours a day, 7 days a week. We appreciate your patience and understanding and will keep you informed of any changes that may impact our services as we move forward. Thank you. IMPORTANT NOTICE Children’s Aid Societies and Indigenous Child and Family Well-Being Agencies in Ontario ARE continuing their child protection services. We are NOT closed. Although agencies across the province have modified their business practices to respond to health and safety concerns, their core protection services continue. If any member of the public or professional have a concern about the safety and/or well-being of a child or youth under 18, they should immediately contact their local Children’s Aid Societies or Indigenous Child and Family Well-Being Agency. A list of local contact information for these agencies are available here: http://www.oacas.org/childrens-aid-child-protection/locate-a-childrens-aid-society/ FACS NIAGARA ABOUT US CONTACT CAREERS ACCESSIBILITY ACCOUNTABILITY SOCIAL MEDIA DISCLAIMER TERMS & CONDITIONS SITEMAP Tweets by FACSNiagara ©2019 Family and Children’s Services Niagara facebooktwitterlinkedin"
14219,20200424,facsniagara.on.ca,https://www.facsniagara.on.ca/covid-19-updates/,text/html,text/html,en,"COVID-19 Updates – Family and Children's Services Niagara Skip to content facebooktwitterlinkedin Home CAREERS ACCOUNTABILITY Contact Us Login ENG. FR. CHILD PROTECTION PROGRAMS Child Care West Niagara Resource Consultants New Outlooks and Beginnings COUNSELLING FOSTER ADOPT VOLUNTEER FUNDRAISING COVID-19 Updates A Message for our Community, April 15, 2020 (PDF | Word) FACS Niagara and Covid-19 Frequently Asked Questions, April 15, 2020 (PDF | Word) FACS Niagara Message Regarding COVID-19 The health and well-being of our community, staff, caregivers and partners are our primary concern. With the current outbreak of COVID-19, we continue to follow recommendations from public health officials, which includes physical infection prevention through social distancing practices. In order to reduce person-to-person contact, we have temporarily suspended on-site operations in our two branch offices in Welland and Niagara Falls until further notice. Our St. Catharines site will remain operational, however, to reduce the spread of the COVID-19 virus, a number of recommendations have been implemented. Where feasible, we will be limiting access to the St. Catharines office to essential persons, as well as asking those who attend the office a series of screening questions and asking them to sanitize their hands. We would ask that anyone who plans to attend the St. Catharines office to please call ahead. Many of our staff will be working remotely during this time and will be accessible via phone or e-mail regarding child protection services. We have also undertaken several initiatives to ensure continuing safety of all persons, including, but not limited to social distancing practices for any on-site work. Events and conferences and non-essential meetings planned during this time period have also been postponed. We want to assure the community, and our children and families that we are continuing to provide protection services to the Niagara community. These services can be accessed by contacting us at 905 937 7731; 24 hours a day, 7 days a week. We appreciate your patience and understanding and will keep you informed of any changes that may impact our services as we move forward. Thank you. IMPORTANT NOTICE Children’s Aid Societies and Indigenous Child and Family Well-Being Agencies in Ontario ARE continuing their child protection services. We are NOT closed. Although agencies across the province have modified their business practices to respond to health and safety concerns, their core protection services continue. If any member of the public or professional have a concern about the safety and/or well-being of a child or youth under 18, they should immediately contact their local Children’s Aid Societies or Indigenous Child and Family Well-Being Agency. A list of local contact information for these agencies are available here: http://www.oacas.org/childrens-aid-child-protection/locate-a-childrens-aid-society/ FACS NIAGARA ABOUT US CONTACT CAREERS ACCESSIBILITY ACCOUNTABILITY SOCIAL MEDIA DISCLAIMER TERMS & CONDITIONS SITEMAP Tweets by FACSNiagara ©2019 Family and Children’s Services Niagara facebooktwitterlinkedin"
14220,20200424,facsniagara.on.ca,https://www.facsniagara.on.ca/covid-19-updates/,text/html,text/html,en,"COVID-19 Updates – Family and Children's Services Niagara Skip to content facebooktwitterlinkedin Home CAREERS ACCOUNTABILITY Contact Us Login ENG. FR. CHILD PROTECTION PROGRAMS Child Care West Niagara Resource Consultants New Outlooks and Beginnings COUNSELLING FOSTER ADOPT VOLUNTEER FUNDRAISING COVID-19 Updates A Message for our Community, April 15, 2020 (PDF | Word) FACS Niagara and Covid-19 Frequently Asked Questions, April 15, 2020 (PDF | Word) FACS Niagara Message Regarding COVID-19 The health and well-being of our community, staff, caregivers and partners are our primary concern. With the current outbreak of COVID-19, we continue to follow recommendations from public health officials, which includes physical infection prevention through social distancing practices. In order to reduce person-to-person contact, we have temporarily suspended on-site operations in our two branch offices in Welland and Niagara Falls until further notice. Our St. Catharines site will remain operational, however, to reduce the spread of the COVID-19 virus, a number of recommendations have been implemented. Where feasible, we will be limiting access to the St. Catharines office to essential persons, as well as asking those who attend the office a series of screening questions and asking them to sanitize their hands. We would ask that anyone who plans to attend the St. Catharines office to please call ahead. Many of our staff will be working remotely during this time and will be accessible via phone or e-mail regarding child protection services. We have also undertaken several initiatives to ensure continuing safety of all persons, including, but not limited to social distancing practices for any on-site work. Events and conferences and non-essential meetings planned during this time period have also been postponed. We want to assure the community, and our children and families that we are continuing to provide protection services to the Niagara community. These services can be accessed by contacting us at 905 937 7731; 24 hours a day, 7 days a week. We appreciate your patience and understanding and will keep you informed of any changes that may impact our services as we move forward. Thank you. IMPORTANT NOTICE Children’s Aid Societies and Indigenous Child and Family Well-Being Agencies in Ontario ARE continuing their child protection services. We are NOT closed. Although agencies across the province have modified their business practices to respond to health and safety concerns, their core protection services continue. If any member of the public or professional have a concern about the safety and/or well-being of a child or youth under 18, they should immediately contact their local Children’s Aid Societies or Indigenous Child and Family Well-Being Agency. A list of local contact information for these agencies are available here: http://www.oacas.org/childrens-aid-child-protection/locate-a-childrens-aid-society/ FACS NIAGARA ABOUT US CONTACT CAREERS ACCESSIBILITY ACCOUNTABILITY SOCIAL MEDIA DISCLAIMER TERMS & CONDITIONS SITEMAP Tweets by FACSNiagara ©2019 Family and Children’s Services Niagara facebooktwitterlinkedin"
19157,20200504,facsniagara.on.ca,https://www.facsniagara.on.ca/covid-19-updates/,text/html,text/html,en,"COVID-19 Updates – Family and Children's Services Niagara Skip to content facebooktwitterlinkedin Home CAREERS ACCOUNTABILITY Contact Us Login ENG. FR. CHILD PROTECTION PROGRAMS Child Care West Niagara Resource Consultants New Outlooks and Beginnings COUNSELLING FOSTER ADOPT VOLUNTEER FUNDRAISING COVID-19 Updates A Message for our Community, April 15, 2020 (PDF | Word) FACS Niagara and Covid-19 Frequently Asked Questions, April 15, 2020 (PDF | Word) FACS Niagara Message Regarding COVID-19 The health and well-being of our community, staff, caregivers and partners are our primary concern. With the current outbreak of COVID-19, we continue to follow recommendations from public health officials, which includes physical infection prevention through social distancing practices. In order to reduce person-to-person contact, we have temporarily suspended on-site operations in our two branch offices in Welland and Niagara Falls until further notice. Our St. Catharines site will remain operational, however, to reduce the spread of the COVID-19 virus, a number of recommendations have been implemented. Where feasible, we will be limiting access to the St. Catharines office to essential persons, as well as asking those who attend the office a series of screening questions and asking them to sanitize their hands. We would ask that anyone who plans to attend the St. Catharines office to please call ahead. Many of our staff will be working remotely during this time and will be accessible via phone or e-mail regarding child protection services. We have also undertaken several initiatives to ensure continuing safety of all persons, including, but not limited to social distancing practices for any on-site work. Events and conferences and non-essential meetings planned during this time period have also been postponed. We want to assure the community, and our children and families that we are continuing to provide protection services to the Niagara community. These services can be accessed by contacting us at 905 937 7731; 24 hours a day, 7 days a week. We appreciate your patience and understanding and will keep you informed of any changes that may impact our services as we move forward. Thank you. IMPORTANT NOTICE Children’s Aid Societies and Indigenous Child and Family Well-Being Agencies in Ontario ARE continuing their child protection services. We are NOT closed. Although agencies across the province have modified their business practices to respond to health and safety concerns, their core protection services continue. If any member of the public or professional have a concern about the safety and/or well-being of a child or youth under 18, they should immediately contact their local Children’s Aid Societies or Indigenous Child and Family Well-Being Agency. A list of local contact information for these agencies are available here: http://www.oacas.org/childrens-aid-child-protection/locate-a-childrens-aid-society/ FACS NIAGARA ABOUT US CONTACT CAREERS ACCESSIBILITY ACCOUNTABILITY SOCIAL MEDIA DISCLAIMER TERMS & CONDITIONS SITEMAP Tweets by FACSNiagara ©2019 Family and Children’s Services Niagara facebooktwitterlinkedin"
22600,20200515,facsniagara.on.ca,https://www.facsniagara.on.ca/covid-19-updates/,text/html,text/html,en,"COVID-19 Updates – Family and Children's Services Niagara Skip to content facebooktwitterlinkedin Home CAREERS ACCOUNTABILITY Contact Us Login ENG. FR. CHILD PROTECTION PROGRAMS Child Care West Niagara Resource Consultants New Outlooks and Beginnings COUNSELLING FOSTER ADOPT VOLUNTEER FUNDRAISING COVID-19 Updates A Message for our Community, April 15, 2020 (PDF | Word) FACS Niagara and Covid-19 Frequently Asked Questions, April 15, 2020 (PDF | Word) FACS Niagara Message Regarding COVID-19 The health and well-being of our community, staff, caregivers and partners are our primary concern. With the current outbreak of COVID-19, we continue to follow recommendations from public health officials, which includes physical infection prevention through social distancing practices. In order to reduce person-to-person contact, we have temporarily suspended on-site operations in our two branch offices in Welland and Niagara Falls until further notice. Our St. Catharines site will remain operational, however, to reduce the spread of the COVID-19 virus, a number of recommendations have been implemented. Where feasible, we will be limiting access to the St. Catharines office to essential persons, as well as asking those who attend the office a series of screening questions and asking them to sanitize their hands. We would ask that anyone who plans to attend the St. Catharines office to please call ahead. Many of our staff will be working remotely during this time and will be accessible via phone or e-mail regarding child protection services. We have also undertaken several initiatives to ensure continuing safety of all persons, including, but not limited to social distancing practices for any on-site work. Events and conferences and non-essential meetings planned during this time period have also been postponed. We want to assure the community, and our children and families that we are continuing to provide protection services to the Niagara community. These services can be accessed by contacting us at 905 937 7731; 24 hours a day, 7 days a week. We appreciate your patience and understanding and will keep you informed of any changes that may impact our services as we move forward. Thank you. IMPORTANT NOTICE Children’s Aid Societies and Indigenous Child and Family Well-Being Agencies in Ontario ARE continuing their child protection services. We are NOT closed. Although agencies across the province have modified their business practices to respond to health and safety concerns, their core protection services continue. If any member of the public or professional have a concern about the safety and/or well-being of a child or youth under 18, they should immediately contact their local Children’s Aid Societies or Indigenous Child and Family Well-Being Agency. A list of local contact information for these agencies are available here: http://www.oacas.org/childrens-aid-child-protection/locate-a-childrens-aid-society/ FACS NIAGARA ABOUT US CONTACT CAREERS ACCESSIBILITY ACCOUNTABILITY SOCIAL MEDIA DISCLAIMER TERMS & CONDITIONS SITEMAP Tweets by FACSNiagara ©2019 Family and Children’s Services Niagara facebooktwitterlinkedin"
22601,20200515,facsniagara.on.ca,https://www.facsniagara.on.ca/covid-19-updates/,text/html,text/html,en,"COVID-19 Updates – Family and Children's Services Niagara Skip to content facebooktwitterlinkedin Home CAREERS ACCOUNTABILITY Contact Us Login ENG. FR. CHILD PROTECTION PROGRAMS Child Care West Niagara Resource Consultants New Outlooks and Beginnings COUNSELLING FOSTER ADOPT VOLUNTEER FUNDRAISING COVID-19 Updates A Message for our Community, April 15, 2020 (PDF | Word) FACS Niagara and Covid-19 Frequently Asked Questions, April 15, 2020 (PDF | Word) FACS Niagara Message Regarding COVID-19 The health and well-being of our community, staff, caregivers and partners are our primary concern. With the current outbreak of COVID-19, we continue to follow recommendations from public health officials, which includes physical infection prevention through social distancing practices. In order to reduce person-to-person contact, we have temporarily suspended on-site operations in our two branch offices in Welland and Niagara Falls until further notice. Our St. Catharines site will remain operational, however, to reduce the spread of the COVID-19 virus, a number of recommendations have been implemented. Where feasible, we will be limiting access to the St. Catharines office to essential persons, as well as asking those who attend the office a series of screening questions and asking them to sanitize their hands. We would ask that anyone who plans to attend the St. Catharines office to please call ahead. Many of our staff will be working remotely during this time and will be accessible via phone or e-mail regarding child protection services. We have also undertaken several initiatives to ensure continuing safety of all persons, including, but not limited to social distancing practices for any on-site work. Events and conferences and non-essential meetings planned during this time period have also been postponed. We want to assure the community, and our children and families that we are continuing to provide protection services to the Niagara community. These services can be accessed by contacting us at 905 937 7731; 24 hours a day, 7 days a week. We appreciate your patience and understanding and will keep you informed of any changes that may impact our services as we move forward. Thank you. IMPORTANT NOTICE Children’s Aid Societies and Indigenous Child and Family Well-Being Agencies in Ontario ARE continuing their child protection services. We are NOT closed. Although agencies across the province have modified their business practices to respond to health and safety concerns, their core protection services continue. If any member of the public or professional have a concern about the safety and/or well-being of a child or youth under 18, they should immediately contact their local Children’s Aid Societies or Indigenous Child and Family Well-Being Agency. A list of local contact information for these agencies are available here: http://www.oacas.org/childrens-aid-child-protection/locate-a-childrens-aid-society/ FACS NIAGARA ABOUT US CONTACT CAREERS ACCESSIBILITY ACCOUNTABILITY SOCIAL MEDIA DISCLAIMER TERMS & CONDITIONS SITEMAP Tweets by FACSNiagara ©2019 Family and Children’s Services Niagara facebooktwitterlinkedin"
64385,20200522,facsniagara.on.ca,https://www.facsniagara.on.ca/covid-19-updates/,text/html,text/html,en,"COVID-19 Updates – Family and Children's Services Niagara Skip to content facebooktwitterlinkedin Home CAREERS ACCOUNTABILITY Contact Us Login ENG. FR. CHILD PROTECTION PROGRAMS Child Care West Niagara Resource Consultants New Outlooks and Beginnings COUNSELLING FOSTER ADOPT VOLUNTEER FUNDRAISING COVID-19 Updates A Message for our Community, April 15, 2020 (PDF | Word) FACS Niagara and Covid-19 Frequently Asked Questions, April 15, 2020 (PDF | Word) FACS Niagara Message Regarding COVID-19 The health and well-being of our community, staff, caregivers and partners are our primary concern. With the current outbreak of COVID-19, we continue to follow recommendations from public health officials, which includes physical infection prevention through social distancing practices. In order to reduce person-to-person contact, we have temporarily suspended on-site operations in our two branch offices in Welland and Niagara Falls until further notice. Our St. Catharines site will remain operational, however, to reduce the spread of the COVID-19 virus, a number of recommendations have been implemented. Where feasible, we will be limiting access to the St. Catharines office to essential persons, as well as asking those who attend the office a series of screening questions and asking them to sanitize their hands. We would ask that anyone who plans to attend the St. Catharines office to please call ahead. Many of our staff will be working remotely during this time and will be accessible via phone or e-mail regarding child protection services. We have also undertaken several initiatives to ensure continuing safety of all persons, including, but not limited to social distancing practices for any on-site work. Events and conferences and non-essential meetings planned during this time period have also been postponed. We want to assure the community, and our children and families that we are continuing to provide protection services to the Niagara community. These services can be accessed by contacting us at 905 937 7731; 24 hours a day, 7 days a week. We appreciate your patience and understanding and will keep you informed of any changes that may impact our services as we move forward. Thank you. IMPORTANT NOTICE Children’s Aid Societies and Indigenous Child and Family Well-Being Agencies in Ontario ARE continuing their child protection services. We are NOT closed. Although agencies across the province have modified their business practices to respond to health and safety concerns, their core protection services continue. If any member of the public or professional have a concern about the safety and/or well-being of a child or youth under 18, they should immediately contact their local Children’s Aid Societies or Indigenous Child and Family Well-Being Agency. A list of local contact information for these agencies are available here: http://www.oacas.org/childrens-aid-child-protection/locate-a-childrens-aid-society/ FACS NIAGARA ABOUT US CONTACT CAREERS ACCESSIBILITY ACCOUNTABILITY SOCIAL MEDIA DISCLAIMER TERMS & CONDITIONS SITEMAP Tweets by FACSNiagara ©2019 Family and Children’s Services Niagara facebooktwitterlinkedin"
64386,20200522,facsniagara.on.ca,https://www.facsniagara.on.ca/covid-19-updates/,text/html,text/html,en,"COVID-19 Updates – Family and Children's Services Niagara Skip to content facebooktwitterlinkedin Home CAREERS ACCOUNTABILITY Contact Us Login ENG. FR. CHILD PROTECTION PROGRAMS Child Care West Niagara Resource Consultants New Outlooks and Beginnings COUNSELLING FOSTER ADOPT VOLUNTEER FUNDRAISING COVID-19 Updates A Message for our Community, April 15, 2020 (PDF | Word) FACS Niagara and Covid-19 Frequently Asked Questions, April 15, 2020 (PDF | Word) FACS Niagara Message Regarding COVID-19 The health and well-being of our community, staff, caregivers and partners are our primary concern. With the current outbreak of COVID-19, we continue to follow recommendations from public health officials, which includes physical infection prevention through social distancing practices. In order to reduce person-to-person contact, we have temporarily suspended on-site operations in our two branch offices in Welland and Niagara Falls until further notice. Our St. Catharines site will remain operational, however, to reduce the spread of the COVID-19 virus, a number of recommendations have been implemented. Where feasible, we will be limiting access to the St. Catharines office to essential persons, as well as asking those who attend the office a series of screening questions and asking them to sanitize their hands. We would ask that anyone who plans to attend the St. Catharines office to please call ahead. Many of our staff will be working remotely during this time and will be accessible via phone or e-mail regarding child protection services. We have also undertaken several initiatives to ensure continuing safety of all persons, including, but not limited to social distancing practices for any on-site work. Events and conferences and non-essential meetings planned during this time period have also been postponed. We want to assure the community, and our children and families that we are continuing to provide protection services to the Niagara community. These services can be accessed by contacting us at 905 937 7731; 24 hours a day, 7 days a week. We appreciate your patience and understanding and will keep you informed of any changes that may impact our services as we move forward. Thank you. IMPORTANT NOTICE Children’s Aid Societies and Indigenous Child and Family Well-Being Agencies in Ontario ARE continuing their child protection services. We are NOT closed. Although agencies across the province have modified their business practices to respond to health and safety concerns, their core protection services continue. If any member of the public or professional have a concern about the safety and/or well-being of a child or youth under 18, they should immediately contact their local Children’s Aid Societies or Indigenous Child and Family Well-Being Agency. A list of local contact information for these agencies are available here: http://www.oacas.org/childrens-aid-child-protection/locate-a-childrens-aid-society/ FACS NIAGARA ABOUT US CONTACT CAREERS ACCESSIBILITY ACCOUNTABILITY SOCIAL MEDIA DISCLAIMER TERMS & CONDITIONS SITEMAP Tweets by FACSNiagara ©2019 Family and Children’s Services Niagara facebooktwitterlinkedin"
64392,20200527,facsniagara.on.ca,https://www.facsniagara.on.ca/covid-19-updates/,text/html,text/html,en,"COVID-19 Updates – Family and Children's Services Niagara Skip to content facebooktwitterlinkedin Home CAREERS ACCOUNTABILITY Contact Us Login ENG. FR. CHILD PROTECTION PROGRAMS Child Care West Niagara Resource Consultants New Outlooks and Beginnings COUNSELLING FOSTER ADOPT VOLUNTEER FUNDRAISING COVID-19 Updates A Message for our Community, April 15, 2020 (PDF | Word) FACS Niagara and Covid-19 Frequently Asked Questions, April 15, 2020 (PDF | Word) FACS Niagara Message Regarding COVID-19 The health and well-being of our community, staff, caregivers and partners are our primary concern. With the current outbreak of COVID-19, we continue to follow recommendations from public health officials, which includes physical infection prevention through social distancing practices. In order to reduce person-to-person contact, we have temporarily suspended on-site operations in our two branch offices in Welland and Niagara Falls until further notice. Our St. Catharines site will remain operational, however, to reduce the spread of the COVID-19 virus, a number of recommendations have been implemented. Where feasible, we will be limiting access to the St. Catharines office to essential persons, as well as asking those who attend the office a series of screening questions and asking them to sanitize their hands. We would ask that anyone who plans to attend the St. Catharines office to please call ahead. Many of our staff will be working remotely during this time and will be accessible via phone or e-mail regarding child protection services. We have also undertaken several initiatives to ensure continuing safety of all persons, including, but not limited to social distancing practices for any on-site work. Events and conferences and non-essential meetings planned during this time period have also been postponed. We want to assure the community, and our children and families that we are continuing to provide protection services to the Niagara community. These services can be accessed by contacting us at 905 937 7731; 24 hours a day, 7 days a week. We appreciate your patience and understanding and will keep you informed of any changes that may impact our services as we move forward. Thank you. IMPORTANT NOTICE Children’s Aid Societies and Indigenous Child and Family Well-Being Agencies in Ontario ARE continuing their child protection services. We are NOT closed. Although agencies across the province have modified their business practices to respond to health and safety concerns, their core protection services continue. If any member of the public or professional have a concern about the safety and/or well-being of a child or youth under 18, they should immediately contact their local Children’s Aid Societies or Indigenous Child and Family Well-Being Agency. A list of local contact information for these agencies are available here: http://www.oacas.org/childrens-aid-child-protection/locate-a-childrens-aid-society/ FACS NIAGARA ABOUT US CONTACT CAREERS ACCESSIBILITY ACCOUNTABILITY SOCIAL MEDIA DISCLAIMER TERMS & CONDITIONS SITEMAP Tweets by FACSNiagara ©2019 Family and Children’s Services Niagara facebooktwitterlinkedin"
