,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
30643,20201103,emeter-nam.mppglobal.com,https://emeter-nam.mppglobal.com/probes/JSONP,text/html,text/plain,eu,"{""eMeterError"":true}"
30764,20201103,emeter-nam.mppglobal.com,https://emeter-nam.mppglobal.com/probes/JSONP?Cookie=AccessToken=idv2kh2irqqbwek7716eqti8qlz6k189c&content=post&REQUEST_URI=https://www.stcatharinesstandard.ca/news/niagara-region/2020/10/01/rankin-run-cancelled-for-2021-in-heartbreaking-decision.html&X-TokenId=A3E8650F772B49B69E044DAC39BE3AD3&callback=__jp0,text/html,text/plain,en,"__jp0({""MeterCounts"":{""articleCount"":0,""TheSpecArticleCount"":0,""TherecordArticleCount"":0,""ThepeterboroughexaminerArticleCount"":0},""AllowAccess"":true});"
30778,20201103,emeter-nam.mppglobal.com,https://emeter-nam.mppglobal.com/probes/JSONP?Cookie=AccessToken=idv2kh2iugv4jr30fthitmeg1tlk0wdbk7&content=post&REQUEST_URI=https://www.stcatharinesstandard.ca/life/2020/10/01/modified-pumpkinville-lives-on-in-st-catharines-including-to-feature-face-mask-decorating.html&X-TokenId=A3E8650F772B49B69E044DAC39BE3AD3&callback=__jp0,text/html,text/plain,en,"__jp0({""MeterCounts"":{""articleCount"":0,""TheSpecArticleCount"":0,""TherecordArticleCount"":0,""ThepeterboroughexaminerArticleCount"":0},""AllowAccess"":true});"
30790,20201103,emeter-nam.mppglobal.com,https://emeter-nam.mppglobal.com/probes/JSONP?Cookie=AccessToken=idv2kh2ivv0i7anobl1ibmkm9o3dova2zf&content=post&REQUEST_URI=https://www.stcatharinesstandard.ca/news/niagara-region/2020/10/01/hope-can-be-found-in-rising-covid-19-numbers-says-hirji.html&X-TokenId=A3E8650F772B49B69E044DAC39BE3AD3&callback=__jp0,text/html,text/plain,en,"__jp0({""MeterCounts"":{""articleCount"":0,""TheSpecArticleCount"":0,""TherecordArticleCount"":0,""ThepeterboroughexaminerArticleCount"":0},""AllowAccess"":true});"
30809,20201103,emeter-nam.mppglobal.com,https://emeter-nam.mppglobal.com/probes/JSONP?Cookie=AccessToken=idv2kh2ixol2sxlzxqf056l7g2qu8u60aw&content=post&REQUEST_URI=https://www.stcatharinesstandard.ca/life/food-wine/2020/10/02/niagara-on-the-lake-establishments-hope-to-extend-patio-season-as-temperature-dips.html&X-TokenId=A3E8650F772B49B69E044DAC39BE3AD3&callback=__jp0,text/html,text/plain,en,"__jp0({""MeterCounts"":{""articleCount"":0,""TheSpecArticleCount"":0,""TherecordArticleCount"":0,""ThepeterboroughexaminerArticleCount"":0},""AllowAccess"":true});"
30838,20201103,emeter-nam.mppglobal.com,https://emeter-nam.mppglobal.com/probes/JSONP?Cookie=AccessToken=idv2kh2j0ecjng7lr8dd3qln16fdzmc2t&content=post&REQUEST_URI=https://www.stcatharinesstandard.ca/news/niagara-region/2020/10/02/last-chance-for-niagara-to-get-covid-19-under-control-and-avoid-new-lockdown-measures-hirji.html&X-TokenId=A3E8650F772B49B69E044DAC39BE3AD3&callback=__jp0,text/html,text/plain,en,"__jp0({""MeterCounts"":{""articleCount"":0,""TheSpecArticleCount"":0,""TherecordArticleCount"":0,""ThepeterboroughexaminerArticleCount"":0},""AllowAccess"":true});"
30852,20201103,emeter-nam.mppglobal.com,https://emeter-nam.mppglobal.com/probes/JSONP?Cookie=AccessToken=idv2kh2j1llin2ozo5hvqwzd70l8yfvn&content=post&REQUEST_URI=https://www.stcatharinesstandard.ca/business/2020/10/02/from-rowing-gear-to-face-masks-how-one-st-catharines-company-stayed-afloat-through-covid-19.html&X-TokenId=A3E8650F772B49B69E044DAC39BE3AD3&callback=__jp0,text/html,text/plain,en,"__jp0({""MeterCounts"":{""articleCount"":0,""TheSpecArticleCount"":0,""TherecordArticleCount"":0,""ThepeterboroughexaminerArticleCount"":0},""AllowAccess"":true});"
30875,20201103,emeter-nam.mppglobal.com,https://emeter-nam.mppglobal.com/probes/JSONP?Cookie=AccessToken=idv2kh2j4gkkb5yobwwpdhm9hdcfwav3d&content=post&REQUEST_URI=https://www.stcatharinesstandard.ca/news/niagara-region/2020/10/03/covid-19-testing-in-high-demand-at-st-catharines-shoppers-drug-mart.html&X-TokenId=A3E8650F772B49B69E044DAC39BE3AD3&callback=__jp0,text/html,text/plain,en,"__jp0({""MeterCounts"":{""articleCount"":0,""TheSpecArticleCount"":0,""TherecordArticleCount"":0,""ThepeterboroughexaminerArticleCount"":0},""AllowAccess"":true});"
30890,20201103,emeter-nam.mppglobal.com,https://emeter-nam.mppglobal.com/probes/JSONP?Cookie=AccessToken=idv2kh2j5jgggrg8a0isq2ijjyi3axaa1c&content=post&REQUEST_URI=https://www.stcatharinesstandard.ca/news/niagara-region/2020/10/04/two-more-niagara-schools-impacted-by-covid-19.html&X-TokenId=A3E8650F772B49B69E044DAC39BE3AD3&callback=__jp0,text/html,text/plain,en,"__jp0({""MeterCounts"":{""articleCount"":0,""TheSpecArticleCount"":0,""TherecordArticleCount"":0,""ThepeterboroughexaminerArticleCount"":0},""AllowAccess"":true});"
30901,20201103,emeter-nam.mppglobal.com,https://emeter-nam.mppglobal.com/probes/JSONP?Cookie=AccessToken=idv2kh2j6p6pwu416zw2haitq3dfz1jr1l&content=post&REQUEST_URI=https://www.stcatharinesstandard.ca/news/niagara-region/2020/10/04/santa-claus-reverse-parade-and-other-ideas-floated-in-niagara.html&X-TokenId=A3E8650F772B49B69E044DAC39BE3AD3&callback=__jp0,text/html,text/plain,en,"__jp0({""MeterCounts"":{""articleCount"":0,""TheSpecArticleCount"":0,""TherecordArticleCount"":0,""ThepeterboroughexaminerArticleCount"":0},""AllowAccess"":true});"
30915,20201103,emeter-nam.mppglobal.com,https://emeter-nam.mppglobal.com/probes/JSONP?Cookie=AccessToken=idv2kh2j87jmoefs7njo8mkpf6fyat9s&content=post&REQUEST_URI=https://www.stcatharinesstandard.ca/news/niagara-region/2020/10/04/niagara-public-health-stretched-thin-for-contract-tracing.html&X-TokenId=A3E8650F772B49B69E044DAC39BE3AD3&callback=__jp0,text/html,text/plain,en,"__jp0({""MeterCounts"":{""articleCount"":0,""TheSpecArticleCount"":0,""TherecordArticleCount"":0,""ThepeterboroughexaminerArticleCount"":0},""AllowAccess"":true});"
30929,20201103,emeter-nam.mppglobal.com,https://emeter-nam.mppglobal.com/probes/JSONP?Cookie=AccessToken=idv2kh2j9llh49rgbbbfvtgt7ahhno3s2f&content=post&REQUEST_URI=https://www.stcatharinesstandard.ca/news/niagara-region/2020/10/04/covid-19-outbreak-declared-at-lundy-manor--again.html&X-TokenId=A3E8650F772B49B69E044DAC39BE3AD3&callback=__jp0,text/html,text/plain,en,"__jp0({""MeterCounts"":{""articleCount"":0,""TheSpecArticleCount"":0,""TherecordArticleCount"":0,""ThepeterboroughexaminerArticleCount"":0},""AllowAccess"":true});"
30956,20201103,emeter-nam.mppglobal.com,https://emeter-nam.mppglobal.com/probes/JSONP?Cookie=AccessToken=idv2kh2jcy5d1rm93i90onaju6p5zxjsprd&content=post&REQUEST_URI=https://www.stcatharinesstandard.ca/news/niagara-region/2020/10/05/niagara-was-warned-about-new-covid-19-wave-now-new-outbreaks-and-death-have-arrived.html&X-TokenId=A3E8650F772B49B69E044DAC39BE3AD3&callback=__jp0,text/html,text/plain,en,"__jp0({""MeterCounts"":{""articleCount"":0,""TheSpecArticleCount"":0,""TherecordArticleCount"":0,""ThepeterboroughexaminerArticleCount"":0},""AllowAccess"":true});"
30971,20201103,emeter-nam.mppglobal.com,https://emeter-nam.mppglobal.com/probes/JSONP?Cookie=AccessToken=idv2kh2ject9ku37g767qqg7kne8rwmfop&content=post&REQUEST_URI=https://www.stcatharinesstandard.ca/news/niagara-region/2020/10/06/niagara-boards-have-adapted-to-meet-needs-of-special-educations-students-under-covid-19-restrictions.html&X-TokenId=A3E8650F772B49B69E044DAC39BE3AD3&callback=__jp0,text/html,text/plain,en,"__jp0({""MeterCounts"":{""articleCount"":0,""TheSpecArticleCount"":0,""TherecordArticleCount"":0,""ThepeterboroughexaminerArticleCount"":0},""AllowAccess"":true});"
31003,20201103,emeter-nam.mppglobal.com,https://emeter-nam.mppglobal.com/probes/JSONP?Cookie=AccessToken=idv2kh2jijw2yvgsvq7836g9oe3nymdjy6&content=post&REQUEST_URI=https://www.stcatharinesstandard.ca/news/niagara-region/2020/10/06/niagara-can-still-slow-covid-19-if-it-acts-now-says-hirji.html&X-TokenId=A3E8650F772B49B69E044DAC39BE3AD3&callback=__jp0,text/html,text/plain,en,"__jp0({""MeterCounts"":{""articleCount"":0,""TheSpecArticleCount"":0,""TherecordArticleCount"":0,""ThepeterboroughexaminerArticleCount"":0},""AllowAccess"":true});"
