,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
191956,20200822,dr.library.brocku.ca,https://dr.library.brocku.ca/handle/10464/14080,text/html,text/html,en,"Life Membership Ontario Recreation Association - Estelle Cuffe Hawley Toggle navigation Login Toggle navigation View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item JavaScript is disabled for your browser. Some features of this site may not work without it. Life Membership Ontario Recreation Association - Estelle Cuffe Hawley View/Open 6_19ORAmembership_life.jpg (79.70Kb) Date n.d. Author Ontario Recreation Association Metadata Show full item record Abstract A life membership card for the Ontario Recreation Association for Estelle Cuffe Hawley. It is made of metal and the presidents signature is engraved. The bottom of the card reads ""Recreation is for everyone - All Ages - All Interests - Year Round"" URI http://hdl.handle.net/10464/14080 Collections Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 Brock University | Copyright © 2006-2015 Contact Us | Send Feedback Search Everything This Collection Browse All of DSpaceCommunities & CollectionsBy Issue DateAuthorsTitlesSubjectsThis CollectionBy Issue DateAuthorsTitlesSubjects My Account LoginRegister Statistics View Usage Statistics Brock University | Copyright © 2006-2015 Contact Us | Send Feedback"
192338,20200823,dr.library.brocku.ca,https://dr.library.brocku.ca/handle/10464/14074,text/html,text/html,en,"Photograph - Estelle Cuffe Hawley Toggle navigation Login Toggle navigation View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item JavaScript is disabled for your browser. Some features of this site may not work without it. Photograph - Estelle Cuffe Hawley View/Open 6_29Estelle_Photo_Mayor_race.jpg (108.6Kb) Date 1943 Metadata Show full item record Abstract A photograph of Estelle Cuffe Hawley used during her mayoral race in 1943/1944. URI http://hdl.handle.net/10464/14074 Collections Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 Brock University | Copyright © 2006-2015 Contact Us | Send Feedback Search Everything This Collection Browse All of DSpaceCommunities & CollectionsBy Issue DateAuthorsTitlesSubjectsThis CollectionBy Issue DateAuthorsTitlesSubjects My Account LoginRegister Statistics View Usage Statistics Brock University | Copyright © 2006-2015 Contact Us | Send Feedback"
192340,20200823,dr.library.brocku.ca,https://dr.library.brocku.ca/handle/10464/14052,text/html,text/html,en,"St. Catharines Garden City Arena, December 1938 Toggle navigation Login Toggle navigation View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item JavaScript is disabled for your browser. Some features of this site may not work without it. St. Catharines Garden City Arena, December 1938 View/Open 1_2Garden_City_Arena.pdf (7.454Mb) Date 1938-12 Author City of St. Catharines Metadata Show full item record Abstract An official programme of the St. Catharines Garden City Arena from December 1938. Included in the programme are advertisements for The Daily Star, Algoma Steel, General Motors Products, Carl's Boot Shop, Hotel Leonard, Toronto-St. Catharines Transport Ltd., Warren Bros. Limited, Thompson Products Ltd, Engineering, Tool & Forgings Limited, Newman Bros. Limited, J.H. Lock & Sons Limited. Also included is a letter from the Mayor, John D. Wright, and an article titled ""Quarter Century Dream Finally Realized"" by B.F. Lanson, The St. Catharines City Council (with photograph), an article titled ""Background"". URI http://hdl.handle.net/10464/14052 Collections Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 Brock University | Copyright © 2006-2015 Contact Us | Send Feedback Search Everything This Collection Browse All of DSpaceCommunities & CollectionsBy Issue DateAuthorsTitlesSubjectsThis CollectionBy Issue DateAuthorsTitlesSubjects My Account LoginRegister Statistics View Usage Statistics Brock University | Copyright © 2006-2015 Contact Us | Send Feedback"
192341,20200823,dr.library.brocku.ca,https://dr.library.brocku.ca/handle/10464/14049,text/html,text/html,en,"A Triumph - notes from Estelle Cuffe Hawley Toggle navigation Login Toggle navigation View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item JavaScript is disabled for your browser. Some features of this site may not work without it. A Triumph - notes from Estelle Cuffe Hawley View/Open 1_2Triumph_Accepted_Woman.jpg (1.103Mb) Date 1938-12 Author Cuffe Hawley, Estelle Metadata Show full item record Abstract Notes from Estelle Cuffe Hawley titled ""A Triumph"", 1938. She describes a party for retiring Mayor Wright and how she is kindly escorted by Alderman Beatty to the bar. She describes the initial issues between Beatty and herself and his general opposition to her ideas. They later ""found much common ground, including a sense of humour."" She concludes by restating the words Beatty shared at the party, ""and then he said something like this, after paying tribute to the Wright's 'I would like to say something about alderman Cuffe. You all know I didn't want her or any woman on council. But I would like to say this, if the women of St. Catharines can produce more women like Alderman Cuffe, they can have my seat."" URI http://hdl.handle.net/10464/14049 Collections Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 Brock University | Copyright © 2006-2015 Contact Us | Send Feedback Search Everything This Collection Browse All of DSpaceCommunities & CollectionsBy Issue DateAuthorsTitlesSubjectsThis CollectionBy Issue DateAuthorsTitlesSubjects My Account LoginRegister Statistics View Usage Statistics Brock University | Copyright © 2006-2015 Contact Us | Send Feedback"
192342,20200823,dr.library.brocku.ca,https://dr.library.brocku.ca/handle/10464/14055,text/html,text/html,en,"Campaign Fund Letter Toggle navigation Login Toggle navigation View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item JavaScript is disabled for your browser. Some features of this site may not work without it. Campaign Fund Letter View/Open 1_9Campiagn_Fund_letter1.jpg (1.238Mb) 1_9Campiagn_Fund_letter2.jpg (1.195Mb) Date 1943-12-01 Author Cuffe Hawley, Estelle Metadata Show full item record Abstract A campaign letter sent by Estelle Cuffe Hawley concerning campaign contributions. She starts the letter with summation of her experience and accomplishments as an alderman and teacher and near the end of the letter she states ""campaigns cost money and campaign funds are usually supplied by those who have political or economic axes to grind. Since I have never asked for, nor received any financial support to initiate and support whatever appeared to me to be in the best interest of the community as a whole. Therefore, if you personally feel that you could contribute, in a small way to my campaign fund, which I estimate to be about two hundred dollars, I would be most grateful to you"". URI http://hdl.handle.net/10464/14055 Collections Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 Brock University | Copyright © 2006-2015 Contact Us | Send Feedback Search Everything This Collection Browse All of DSpaceCommunities & CollectionsBy Issue DateAuthorsTitlesSubjectsThis CollectionBy Issue DateAuthorsTitlesSubjects My Account LoginRegister Statistics View Usage Statistics Brock University | Copyright © 2006-2015 Contact Us | Send Feedback"
192343,20200823,dr.library.brocku.ca,https://dr.library.brocku.ca/handle/10464/14064,text/html,text/html,en,"Article - ""Peace That Passeth Understanding Toggle navigation Login Toggle navigation View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item JavaScript is disabled for your browser. Some features of this site may not work without it. Article - ""Peace That Passeth Understanding View/Open 3_18Peace_Passeth.jpg (1.066Mb) Date 1918-11 Author Cuffe Hawley, Estelle Metadata Show full item record Abstract An article written by Estelle B. Cuffe in late 1918, following the war. She writes about ""Peace on the Battlefield"", ""Our Boys Reprieved"" and ""The Men Who Shirked"". Estelle concludes her article with the following ""But, after all, the job is done and well done. Hats off to those 'heroes and gentlemen'. They have had a rought[sic], hard time; they have hated and loathed it all, but with a grim and stubborn courage, resultant from the knowledge of the righteousness of their cause, they fought on, and they have made the glorious victory ours. To those who shall come home comes the sense of duty done, and the peace of an unaccusing conscience. To our fallen heroes - theirs is the 'peace of God which passeth all understanding.'"" Estelle's brother was one of the heroes who was called to duty and died during his time in service. This article was one of many the Estelle wrote for the Peterborough Review. URI http://hdl.handle.net/10464/14064 Collections Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 Brock University | Copyright © 2006-2015 Contact Us | Send Feedback Search Everything This Collection Browse All of DSpaceCommunities & CollectionsBy Issue DateAuthorsTitlesSubjectsThis CollectionBy Issue DateAuthorsTitlesSubjects My Account LoginRegister Statistics View Usage Statistics Brock University | Copyright © 2006-2015 Contact Us | Send Feedback"
192345,20200823,dr.library.brocku.ca,https://dr.library.brocku.ca/handle/10464/14068,text/html,text/html,en,"Poem - The Voice of Women Toggle navigation Login Toggle navigation View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item JavaScript is disabled for your browser. Some features of this site may not work without it. Poem - The Voice of Women View/Open 4_5Voice_of_Women_poem1.jpg (423.0Kb) 4_5Voice_of_Women_poem2.jpg (371.0Kb) Date n.d. Author Cuffe Hawley, Estelle Metadata Show full item record Abstract A poem from a collection of works by Estelle Cuffe Hawley. This poem is titled ""The Voice of Women"" and begins ""December eighth, nineteen sixty-one here at Tarleton Trees new snow nestles in the foliage of cedars; has laid a soft coverlet over trilliums, tulips, forget-me-nots and all the other loveliness that will be a garden come April."" URI http://hdl.handle.net/10464/14068 Collections Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 Brock University | Copyright © 2006-2015 Contact Us | Send Feedback Search Everything This Collection Browse All of DSpaceCommunities & CollectionsBy Issue DateAuthorsTitlesSubjectsThis CollectionBy Issue DateAuthorsTitlesSubjects My Account LoginRegister Statistics View Usage Statistics Brock University | Copyright © 2006-2015 Contact Us | Send Feedback"
192348,20200823,dr.library.brocku.ca,https://dr.library.brocku.ca/handle/10464/14071,text/html,text/html,en,"Speech ""Our Democratic Responsibility"" Toggle navigation Login Toggle navigation View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item JavaScript is disabled for your browser. Some features of this site may not work without it. Speech ""Our Democratic Responsibility"" View/Open 5_7Democratic_Resp.pdf (2.268Mb) Date circa 1944 Author Cuffe Hawley, Estelle Metadata Show full item record Abstract A speech titled ""Our Democratic Responsibility"" by Estelle Cuffe Hawley. Within the speech, Cuffe Hawley mentions ""...we must face the fact that only by political action can our desires for society become realities; we must choose the political party which will best translate our desires into reality and we must support this party to the limit of our resources and capacity."" She goes on to say ""On the basis of all the foregoing facts and of my own experience, I have reached the conclusion, after careful deliberation, that the welfare of all the people can best be served by the election of a CCF Government in Ontario on the 4th of August."" Estelle Cuffe Hawley proceeds to explain the platform of the CCF party. URI http://hdl.handle.net/10464/14071 Collections Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 Brock University | Copyright © 2006-2015 Contact Us | Send Feedback Search Everything This Collection Browse All of DSpaceCommunities & CollectionsBy Issue DateAuthorsTitlesSubjectsThis CollectionBy Issue DateAuthorsTitlesSubjects My Account LoginRegister Statistics View Usage Statistics Brock University | Copyright © 2006-2015 Contact Us | Send Feedback"
192350,20200823,dr.library.brocku.ca,https://dr.library.brocku.ca/handle/10464/14072,text/html,text/html,en,"Article - ""Selling to Women"" Toggle navigation Login Toggle navigation View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item JavaScript is disabled for your browser. Some features of this site may not work without it. Article - ""Selling to Women"" View/Open 5_7Selling_to_Women1.jpg (1.214Mb) 5_7Selling_to_Women2.jpg (1.076Mb) Date 1939-07 Author Cuffe Hawley, Estelle Metadata Show full item record Abstract An article from The Monthly Agency Review, published by the Sun Life Assurance Company of Canada, titled ""Selling to Women"" by Miss E.B. Cuffe. The introduction states that Estelle is a decade into service as a Sun Life Representative. Some of the headings within the article are: Younger Women Are Best Prospect Group, Savings Appeal Stronger, T.D.B. and Cash Values, 'Suppose You Marry...', Oil for Marital Waters, For Men Only. She concludes her article with ""Being in the great minority in this agency (but no oppressed one, I assure you) perhaps I've been overbold in casting aspersions on the way in which men sometimes approach women to sell them insurance."" URI http://hdl.handle.net/10464/14072 Collections Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 Brock University | Copyright © 2006-2015 Contact Us | Send Feedback Search Everything This Collection Browse All of DSpaceCommunities & CollectionsBy Issue DateAuthorsTitlesSubjectsThis CollectionBy Issue DateAuthorsTitlesSubjects My Account LoginRegister Statistics View Usage Statistics Brock University | Copyright © 2006-2015 Contact Us | Send Feedback"
192352,20200823,dr.library.brocku.ca,https://dr.library.brocku.ca/handle/10464/14078,text/html,text/html,en,"Article - ""Reward for a Job Well Done"" Toggle navigation Login Toggle navigation View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item Repository Home Archives & Special Collections Archival Resources Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 View Item JavaScript is disabled for your browser. Some features of this site may not work without it. Article - ""Reward for a Job Well Done"" View/Open 6_9ORA_newsArticle1961.jpg (599.7Kb) Date 1961-05-29 Metadata Show full item record Abstract A newspaper article called ""Reward for a Job Well Done"" from the Orillia Packet and Times in 1961. The article reads ""Mrs. Hubert Hawley of Atherley, left is presented with a lifetime membership engraved on silver when she retired after six years as editor of the Ontario Recreation Association's magazine, 'ORA', which is printed in Orillia."" URI http://hdl.handle.net/10464/14078 Collections Estelle Cuffe Hawley fonds 1852-1999, n.d. RG 503 Brock University | Copyright © 2006-2015 Contact Us | Send Feedback Search Everything This Collection Browse All of DSpaceCommunities & CollectionsBy Issue DateAuthorsTitlesSubjectsThis CollectionBy Issue DateAuthorsTitlesSubjects My Account LoginRegister Statistics View Usage Statistics Brock University | Copyright © 2006-2015 Contact Us | Send Feedback"
