,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
6625,20200417,sky.com,https://www.sky.com/,text/html,text/html,en,"Sky TV, Broadband & Mobile | News, Sports & Movies | Sky.com Toggle Menu Sky Skip to ""Home"" navigation Skip to search Skip to notifications Skip to content Search Close Close Find & Watch TV Products & Packages My Account Help Search sky.com Contact us Email Notifications 0 Sky Yahoo email Sign in Sky.com Homepage New iPhone SE Save £288 on the new iPhone SE with 20GB data £27a month With 20GB data. Price of data plan may vary. Pre-order now See all offers Terms & conditions Watch Sky TV today We’d love more people to have Sky, but we can’t send our engineers out right now due to COVID-19. They’ll be back on the road from 1 June so join today to book your installation, and we’ll set you up to watch award-winning Sky TV on your mobile, tablet or laptop right away. Making your Sky better We’re doing all we can to keep our customers connected right now. And we're making Sky even better for everyone. Join today Got Sky Better together Endless entertainment on Sky TV, plus Superfast Broadband with average download speeds of 59Mbps. Join to start watching Sky TV today on your mobile, tablet or laptop, and book a Sky engineer to your home from 1 June. £52a month for 18 months Prices may change during this period. Set-up: £39.95 Join now 1 2 3 Mobile Browse phones Sky Mobile - Uswitch Network of the Year Spare data rolls into your Sky Piggybank for up to 3 years Watch Sky TV on-the-go without using your data Switch in an instant. Text PAC to 65075 - we’ll take care of the rest Find out moreSee offers Close TV Discover Sky TV Watch Sky TV today We’d love more people to have Sky, but we can’t send our engineers out right now. They’ll be back on the road from 1 June so join today to book your installation, and we’ll get you set up to watch award-winning Sky TV on your mobile, tablet or laptop straight away. If you already have Sky TV, sign in to see your latest offers. Join todaySign in & upgrade Close Broadband Superfast fibre Superfast Sky Broadband Unfortunately, we’re only able continue with Sky Broadband orders that do not require an engineer appointment. If you already have an active broadband connection you may not need an engineer to join Sky Broadband. Please use our line checker to find out. Check availability Close Manage Sky online We’re only answering calls from vulnerable customers and key workers Pausing Sky Sports & BT Sport Pausing Sky Sports & BT Sport Whilst we expect that many of the recently postponed sports events will go ahead, if you wish to pause your Sky Sports and BT Sport subscriptions with Sky in the meantime, you will not be charged a fee to do so or be held to any notice period. You can find out more about how to pause your Sky Sports and BT Sport subscriptions here: Find out more Sky Cinema premieres Sky Cinema premieres Enjoy exclusive premieres on Sky before any other subscription service, plus over 1,000 movies on demand . Watch whenever you want, with HD movies at no extra cost, and pop-up channels dedicated to stars, themes or events. Get started Sky Kids TV Sky Kids TV Keep the children entertained with their favourite shows - including Peppa Pig and SpongeBob Squarepants - with 11 kids TV channels and over 5,000 episodes on demand. Plus, stream shows wherever you go, download fun Sky Buddy games with the Sky Kids app and help support your little ones with our educational collections. Get started Sky Mobile Sky Mobile Explore a world of possibilities with Sky Mobile, the only network that lets you roll over all your unused data, swap your phone each year and mix your plan whenever you like. Plus, you can watch Sky TV on-the-go without using your data. Find out more Bringing the cinema to you Bringing the cinema to you Because you can’t get to the Cinema… We’re bringing the cinema home to you with new releases Military Wives, The Invisible Man, Emma, The Hunt and Trolls World Tour. Go to Sky Store on your Sky box Find out more Disney+ on Sky Q Disney+ on Sky Q Never before seen movies, series and documentaries in one place, easy. Get started Privacy Options Terms & conditions Privacy & cookies notice Accessibility Site map Contact us Complaints Sky Group © 2020 Sky UK UK ROI"
13664,20200424,sky.com,https://www.sky.com/,text/html,text/html,en,"Sky TV, Broadband & Mobile | News, Sports & Movies | Sky.com Toggle Menu Sky Skip to ""Home"" navigation Skip to search Skip to notifications Skip to content Search Close Close Find & Watch TV Products & Packages My Account Help Search sky.com Contact us Email Notifications 0 Sky Yahoo email Sign in Sky.com Homepage New iPhone SE Get the amazing new iPhone SE. Now available on Sky Mobile £21a month With 2GB data. Price of data plan may vary. Buy now See all offers Terms & conditions Big Screen at Home Get Sky TV plus over 1,000 movies on demand in HD with Sky Cinema £36a month for 18 months Prices may change during this period. Set-up: £20 Join now See all bundles In with the Kids Sky TV plus huge variety for kids, including education & fitness shows £30a month for 18 months Prices may change during this period. Set-up: £20 Join now See all bundles 1 2 3 Mobile Browse phones Sky Mobile - Uswitch Network of the Year Spare data rolls into your Sky Piggybank for up to 3 years Watch Sky TV on-the-go without using your data Switch in an instant. Text PAC to 65075 - we’ll take care of the rest Find out moreSee offers Close TV Discover Sky TV Enjoy endless entertainment The biggest Sky TV and Netflix series, live and on demand Plus YouTube, Spotify, BBC iPlayer, ITV Hub, All 4 - all in one place Then add Sky Sports, Sky Cinema, Kids TV channels & more Build your Sky packageSee offers Close Broadband Superfast fibre Superfast Sky Broadband Enjoy our superfast average download speeds of 59Mbps Totally unlimited to keep the whole house online Perfect for streaming and gaming Check availabilityLearn more Close Build your bundle Choose your perfect Sky TV & Superfast Broadband package Keeping you connected Making your Sky better We’re doing all we can to keep our customers connected right now. And we're making Sky even better for everyone. Find out more Sky Cinema premieres Sky Cinema premieres Enjoy exclusive premieres on Sky before any other subscription service, plus over 1,000 movies on demand . Watch whenever you want, with HD movies at no extra cost, and pop-up channels dedicated to stars, themes or events. Get started Sky Kids TV Sky Kids TV Keep the children entertained with their favourite shows - including Peppa Pig and SpongeBob Squarepants - with 11 kids TV channels and over 5,000 episodes on demand. Plus, stream shows wherever you go, download fun Sky Buddy games with the Sky Kids app and help support your little ones with our educational collections. Get started Sky Mobile Sky Mobile Explore a world of possibilities with Sky Mobile, the only network that lets you roll over all your unused data, swap your phone each year and mix your plan whenever you like. Plus, you can watch Sky TV on-the-go without using your data. Find out more Bringing the cinema to you Bringing the cinema to you Because you can’t get to the Cinema… We’re bringing the cinema home to you with new releases Military Wives, The Invisible Man, Emma, The Hunt and Trolls World Tour. Go to Sky Store on your Sky box Find out more Disney+ on Sky Q Disney+ on Sky Q Never before seen movies, series and documentaries in one place, easy. Get started Privacy Options Terms & conditions Privacy & cookies notice Accessibility Site map Contact us Complaints Sky Group © 2020 Sky UK UK ROI"
18124,20200504,sky.com,https://www.sky.com/,text/html,text/html,en,"Sky TV, Broadband & Mobile | News, Sports & Movies | Sky.com Toggle Menu Sky Skip to ""Home"" navigation Skip to search Skip to notifications Skip to content Search Close Close Find & Watch TV Products & Packages My Account Help Search sky.com Contact us Email Notifications 0 Sky Yahoo email Sign in Sky.com Homepage Big Screen at Home Get Sky TV and watch the latest blockbusters in HD with Sky Cinema £36a month for 18 months Prices may change during this period. Set-up: £20 Join now See all bundles New iPhone SE Get the amazing new iPhone SE. Now available on Sky Mobile £21a month With 2GB data. Price of data plan may vary. Buy now See all offers Terms & conditions In with the Kids Sky TV plus huge variety for kids, including education & fitness shows £30a month for 18 months Prices may change during this period. Set-up: £20 Join now See all bundles 1 2 3 TV Discover Sky TV Enjoy endless entertainment The biggest Sky TV and Netflix series, live and on demand Plus YouTube, Spotify, BBC iPlayer, ITV Hub, All 4 - all in one place Then add Sky Cinema, Kids TV channels & more Build your Sky packageSee offers Close Broadband Superfast fibre Superfast Sky Broadband Enjoy our superfast average download speeds of 59Mbps Totally unlimited to keep the whole house online Perfect for streaming and gaming Check availabilityLearn more Close Mobile Browse phones Sky Mobile - Uswitch Network of the Year Spare data rolls into your Sky Piggybank for up to 3 years Watch Sky TV on-the-go without using your data Switch in an instant. Text PAC to 65075 - we’ll take care of the rest Find out moreSee offers Close Build your bundle Choose your perfect Sky TV & Superfast Broadband package Keeping you connected Making your Sky better We’re doing all we can to keep our customers connected right now. And we're making Sky even better for everyone. Find out more Sky Cinema premieres Sky Cinema premieres Enjoy exclusive premieres on Sky before any other subscription service, plus over 1,000 movies on demand . Watch whenever you want, with HD movies at no extra cost, and pop-up channels dedicated to stars, themes or events. Get started Sky Kids TV Sky Kids TV Keep the children entertained with their favourite shows - including Peppa Pig and SpongeBob Squarepants - with 11 kids TV channels and over 5,000 episodes on demand. Plus, stream shows wherever you go, download fun Sky Buddy games with the Sky Kids app and help support your little ones with our educational collections. Get started Sky Mobile Sky Mobile Explore a world of possibilities with Sky Mobile, the only network that lets you roll over all your unused data, swap your phone each year and mix your plan whenever you like. Plus, you can watch Sky TV on-the-go without using your data. Find out more Bringing the cinema to you Bringing the cinema to you Because you can’t get to the Cinema… We’re bringing the cinema home to you with new releases Military Wives, The Invisible Man, Emma, The Hunt and Trolls World Tour. Go to Sky Store on your Sky box Find out more Disney+ on Sky Q Disney+ on Sky Q Never before seen movies, series and documentaries in one place, easy. Get started Privacy Options Terms & conditions Privacy & cookies notice Accessibility Site map Contact us Complaints Sky Group © 2020 Sky UK UK ROI"
21903,20200515,sky.com,https://www.sky.com/,text/html,text/html,en,"Sky TV, Broadband & Mobile | News, Sports & Movies | Sky.com Toggle Menu Sky Skip to ""Home"" navigation Skip to search Skip to notifications Skip to content Search Close Close Find & Watch TV Products & Packages My Account Help Search sky.com Contact us Email Notifications 0 Sky Yahoo email Sign in Sky.com Homepage Sky Ultimate TV The best of Sky TV and Netflix, all in one place on Sky Q. Easy. £25a month for 18 months Prices may change during this period. Set-up: £20 Join now See all bundles Big Screen at Home Get Sky TV and watch the latest blockbusters in HD with Sky Cinema £32a month for 18 months Prices may change during this period. Set-up: £20 Join now See all bundles 00 days : 00 hrs : 00 mins : 00 secs : Save £72 on iPhone 11 Get the amazing iPhone 11 in this online exclusive offer. Hurry, offer ends soon From £30a month With 2GB data. Price of data plan may vary. Buy now See all offers Terms & conditions 1 2 3 TV Discover Sky TV Enjoy endless entertainment The biggest Sky TV and Netflix series, live and on demand Plus YouTube, Spotify, BBC iPlayer, ITV Hub, All 4 - all in one place Then add Sky Cinema, Kids TV channels & more Build your Sky packageSee offers Close Broadband Superfast fibre Superfast Sky Broadband Enjoy our superfast average download speeds of 59Mbps Totally unlimited to keep the whole house online Perfect for streaming and gaming Check availabilityLearn more Close Mobile Browse phones Sky Mobile - Uswitch Network of the Year Spare data rolls into your Sky Piggybank for up to 3 years Watch Sky TV on-the-go without using your data Switch in an instant. Text PAC to 65075 - we’ll take care of the rest Explore our phonesSee offers Close Build your bundle Choose your perfect Sky TV & Superfast Broadband package Keeping you connected Making your Sky better We’re doing all we can to keep our customers connected right now. And we're making Sky even better for everyone. Find out more Sky Cinema premieres Sky Cinema premieres Enjoy exclusive premieres on Sky before any other subscription service, plus over 1,000 movies on demand . Watch whenever you want, with HD movies at no extra cost, and pop-up channels dedicated to stars, themes or events. Get started Sky Kids TV Sky Kids TV Keep the children entertained with their favourite shows - including Peppa Pig and SpongeBob Squarepants - with 11 kids TV channels and over 5,000 episodes on demand. Plus, stream shows wherever you go, download fun Sky Buddy games with the Sky Kids app and help support your little ones with our educational collections. Get started Sky Mobile Sky Mobile Explore a world of possibilities with Sky Mobile, the only network that lets you roll over all your unused data, swap your phone each year and mix your plan whenever you like. Plus, you can watch Sky TV on-the-go without using your data. Find out more Bringing the cinema to you Bringing the cinema to you Because you can’t get to the Cinema… We’re bringing the cinema home to you with new releases Military Wives, The Invisible Man, Emma, The Hunt and Trolls World Tour. Go to Sky Store on your Sky box Find out more Disney+ on Sky Q Disney+ on Sky Q Never before seen movies, series and documentaries in one place, easy. Get started Privacy Options Terms & conditions Privacy & cookies notice Accessibility Site map Contact us Complaints Sky Group © 2020 Sky UK UK ROI"
60320,20200522,sky.com,https://www.sky.com/,text/html,text/html,en,"Sky TV, Broadband & Mobile | News, Sports & Movies | Sky.com Toggle Menu Sky Skip to ""Home"" navigation Skip to search Skip to notifications Skip to content Search Close Close Find & Watch TV Products & Packages My Account Help Search sky.com Contact us Email Notifications 0 Sky Yahoo email Sign in Sky.com Homepage Sky Ultimate TV The best of Sky TV and Netflix, all in one place on Sky Q. Easy. £25a month for 18 months Prices may change during this period. Set-up: £20 Join now See all bundles Better together Endless entertainment on Sky TV, plus Superfast broadband with average download speeds of 59Mbps. £39a month for 18 months Prices may change during this period. Set-up: £39.95 Join now See all bundles Superfast Broadband Limited time offer. We’ll guarantee you get the speed we promised, or money back £25a month for 18 months Prices may change during this period. Set-up costs up to £19.95 Join now See all offers Terms & conditions 1 2 3 TV Discover Sky TV Enjoy endless entertainment The biggest Sky TV and Netflix series, live and on demand Plus YouTube, Spotify, BBC iPlayer, ITV Hub, All 4 - all in one place Then add Sky Cinema, Kids TV channels & more Build your Sky packageSee offers Close Broadband Superfast fibre Superfast Sky Broadband Enjoy our superfast average download speeds of 59Mbps Totally unlimited to keep the whole house online Perfect for streaming and gaming Check availabilityLearn more Close Mobile Browse phones Sky Mobile - Uswitch Network of the Year Spare data rolls into your Sky Piggybank for up to 3 years Watch Sky TV on-the-go without using your data Switch in an instant. Text PAC to 65075 - we’ll take care of the rest Explore our phonesSee Mobile deals Close Build your bundle Choose your perfect Sky TV & Superfast Broadband package Keeping you connected Making your Sky better We’re doing all we can to keep our customers connected right now. And we're making Sky even better for everyone. Find out more Sky Cinema premieres Sky Cinema premieres Enjoy exclusive premieres on Sky before any other subscription service, plus over 1,000 movies on demand . Watch whenever you want, with HD movies at no extra cost, and pop-up channels dedicated to stars, themes or events. Get started Sky Kids TV Sky Kids TV Keep the children entertained with their favourite shows - including Peppa Pig and SpongeBob Squarepants - with 11 kids TV channels and over 5,000 episodes on demand. Plus, stream shows wherever you go, download fun Sky Buddy games with the Sky Kids app and help support your little ones with our educational collections. Get started Sky Mobile Sky Mobile Explore a world of possibilities with Sky Mobile, the only network that lets you roll over all your unused data, swap your phone each year and mix your plan whenever you like. Plus, you can watch Sky TV on-the-go without using your data. Find out more Bringing the cinema to you Bringing the cinema to you Because you can’t get to the Cinema… We’re bringing the cinema home to you with new releases Military Wives, The Invisible Man, Emma, The Hunt and Trolls World Tour. Go to Sky Store on your Sky box Find out more Disney+ on Sky Q Disney+ on Sky Q Never before seen movies, series and documentaries in one place, easy. Get started Privacy Options Terms & conditions Privacy & cookies notice Accessibility Site map Contact us Complaints Sky Group © 2020 Sky UK UK ROI"
61429,20200529,sky.com,https://www.sky.com/,text/html,text/html,en,"Sky TV, Broadband & Mobile | News, Sports & Movies | Sky.com Toggle Menu Sky Skip to ""Home"" navigation Skip to search Skip to notifications Skip to content Search Close Close Find & Watch TV Products & Packages My Account Help Search sky.com Contact us Email Notifications 0 Sky Yahoo email Sign in Sky.com Homepage Sky Ultimate TV The best of Sky TV and Netflix, all in one place on Sky Q. Easy. £25a month for 18 months Prices may change during this period. Set-up: £20 Join now See all bundles Better together Endless entertainment on Sky TV, plus Superfast broadband with average download speeds of 59Mbps. £39a month for 18 months Prices may change during this period. Set-up: £39.95 Join now See all bundles Superfast Broadband Limited time offer. We’ll guarantee you get the speed we promised, or money back £25a month for 18 months Prices may change during this period. Set-up costs up to £19.95 Join now See all offers Terms & conditions 1 2 3 TV Discover Sky TV Enjoy endless entertainment The biggest Sky TV and Netflix series, live and on demand Plus YouTube, Spotify, BBC iPlayer, ITV Hub, All 4 - all in one place Then add Sky Cinema, Kids TV channels & more Build your Sky packageSee offers Close Broadband Superfast fibre Superfast Sky Broadband Enjoy our superfast average download speeds of 59Mbps Totally unlimited to keep the whole house online Perfect for streaming and gaming Check availabilityLearn more Close Mobile Browse phones Sky Mobile - Uswitch Network of the Year Spare data rolls into your Sky Piggybank for up to 3 years Watch Sky TV on-the-go without using your data Switch in an instant. Text PAC to 65075 - we’ll take care of the rest Explore our phonesSee Mobile deals Close Sky Mobile deals Save £288 on the Samsung Galaxy S20 range Keeping you connected Making your Sky better We’re doing all we can to keep our customers connected right now. And we're making Sky even better for everyone. Find out more Expand your world Want to expand your world? Uncover the story behind the story with new Sky Documentaries, access over 500 episodes of breathtaking shows with new Sky Nature, and discover more than ever before with new-look Sky History. All available now. Find out more Sky Kids TV Sky Kids TV Keep the children entertained with their favourite shows - including Peppa Pig and SpongeBob Squarepants - with 11 kids TV channels and over 5,000 episodes on demand. Plus, stream shows wherever you go, download fun Sky Buddy games with the Sky Kids app and help support your little ones with our educational collections. Get started Sky Mobile Sky Mobile Explore a world of possibilities with Sky Mobile, the only network that lets you roll over all your unused data, swap your phone each year and mix your plan whenever you like. Plus, you can watch Sky TV on-the-go without using your data. Find out more Sky Cinema premieres Sky Cinema premieres Enjoy exclusive premieres on Sky before any other subscription service, plus over 1,000 movies on demand . Watch whenever you want, with HD movies at no extra cost, and pop-up channels dedicated to stars, themes or events. Get started Disney+ on Sky Q Disney+ on Sky Q Never before seen movies, series and documentaries in one place, easy. Get started Privacy Options Terms & conditions Privacy & cookies notice Accessibility Site map Contact us Complaints Sky Group © 2020 Sky UK UK ROI"
71118,20200529,sky.com,https://www.sky.com/,text/html,text/html,en,"Sky TV, Broadband & Mobile | News, Sports & Movies | Sky.com Toggle Menu Sky Skip to ""Home"" navigation Skip to search Skip to notifications Skip to content Search Close Close Find & Watch TV Products & Packages My Account Help Search sky.com Contact us Email Notifications 0 Sky Yahoo email Sign in Sky.com Homepage Sky Ultimate TV The best of Sky TV and Netflix, all in one place on Sky Q. Easy. £25a month for 18 months Prices may change during this period. Set-up: £20 Join now See all bundles Better together Endless entertainment on Sky TV, plus Superfast broadband with average download speeds of 59Mbps. £39a month for 18 months Prices may change during this period. Set-up: £39.95 Join now See all bundles Superfast Broadband Limited time offer. We’ll guarantee you get the speed we promised, or money back £25a month for 18 months Prices may change during this period. Set-up costs up to £19.95 Join now See all offers Terms & conditions 1 2 3 TV Discover Sky TV Enjoy endless entertainment The biggest Sky TV and Netflix series, live and on demand Plus YouTube, Spotify, BBC iPlayer, ITV Hub, All 4 - all in one place Then add Sky Cinema, Kids TV channels & more Build your Sky packageSee offers Close Broadband Superfast fibre Superfast Sky Broadband Enjoy our superfast average download speeds of 59Mbps Totally unlimited to keep the whole house online Perfect for streaming and gaming Check availabilityLearn more Close Mobile Browse phones Sky Mobile - Uswitch Network of the Year Spare data rolls into your Sky Piggybank for up to 3 years Watch Sky TV on-the-go without using your data Switch in an instant. Text PAC to 65075 - we’ll take care of the rest Explore our phonesSee Mobile deals Close Sky Mobile deals Save £288 on the Samsung Galaxy S20 range Keeping you connected Making your Sky better We’re doing all we can to keep our customers connected right now. And we're making Sky even better for everyone. Find out more Expand your world Want to expand your world? Uncover the story behind the story with new Sky Documentaries, access over 500 episodes of breathtaking shows with new Sky Nature, and discover more than ever before with new-look Sky History. All available now. Find out more Sky Kids TV Sky Kids TV Keep the children entertained with their favourite shows - including Peppa Pig and SpongeBob Squarepants - with 11 kids TV channels and over 5,000 episodes on demand. Plus, stream shows wherever you go, download fun Sky Buddy games with the Sky Kids app and help support your little ones with our educational collections. Get started Sky Mobile Sky Mobile Explore a world of possibilities with Sky Mobile, the only network that lets you roll over all your unused data, swap your phone each year and mix your plan whenever you like. Plus, you can watch Sky TV on-the-go without using your data. Find out more Sky Cinema premieres Sky Cinema premieres Enjoy exclusive premieres on Sky before any other subscription service, plus over 1,000 movies on demand . Watch whenever you want, with HD movies at no extra cost, and pop-up channels dedicated to stars, themes or events. Get started Disney+ on Sky Q Disney+ on Sky Q Never before seen movies, series and documentaries in one place, easy. Get started Privacy Options Terms & conditions Privacy & cookies notice Accessibility Site map Contact us Complaints Sky Group © 2020 Sky UK UK ROI"
80257,20200605,sky.com,https://www.sky.com/,text/html,text/html,en,"Sky TV, Broadband & Mobile | News, Sports & Movies | Sky.com Toggle Menu Sky Skip to ""Home"" navigation Skip to search Skip to notifications Skip to content Search Close Close Find & Watch TV Products & Packages My Account Help Search sky.com Contact us Email Notifications 0 Sky Yahoo email Sign in Sky.com Homepage Sky Ultimate TV The best of Sky TV and Netflix, all in one place on Sky Q. Easy. £25a month for 18 months Prices may change during this period. Set-up: £20 Join now See all bundles Better together Endless entertainment on Sky TV, plus Superfast broadband with average download speeds of 59Mbps. £39a month for 18 months Prices may change during this period. Set-up: £39.95 Join now See all bundles Superfast Broadband Limited time offer. We’ll guarantee you get the speed we promised, or money back £25a month for 18 months Prices may change during this period. Set-up costs up to £19.95 Join now See all offers Terms & conditions 1 2 3 TV Discover Sky TV Enjoy endless entertainment The biggest Sky TV and Netflix series, live and on demand Plus YouTube, Spotify, BBC iPlayer, ITV Hub, All 4 - all in one place Then add Sky Cinema, Kids TV channels & more Build your Sky packageSee offers Close Broadband Superfast fibre Superfast Sky Broadband Enjoy our superfast average download speeds of 59Mbps Totally unlimited to keep the whole house online Perfect for streaming and gaming Check availabilityLearn more Close Mobile Browse phones Sky Mobile - Uswitch Network of the Year Spare data rolls into your Sky Piggybank for up to 3 years Watch Sky TV on-the-go without using your data Switch in an instant. Text PAC to 65075 - we’ll take care of the rest Explore our phonesSee Mobile deals Close Sky Mobile deals Save £360 on the amazing iPhone 11 range The comeback starts here The comeback starts here Sports is back. We’ve got a lot of catching up to do. The Premier League is set to return on 17 June, with 39 games exclusively live on Sky over the next two months. Plus the return of PGA Tour golf, Sanzaar Super Rugby and more throughout June. Find out more Expand your world Want to expand your world? Uncover the story behind the story with new Sky Documentaries, access over 500 episodes of breathtaking shows with new Sky Nature, and discover more than ever before with new-look Sky History. All available now. Find out more Sky Kids TV Sky Kids TV Keep the children entertained with their favourite shows - including Peppa Pig and SpongeBob Squarepants - with 11 kids TV channels and over 5,000 episodes on demand. Plus, stream shows wherever you go, download fun Sky Buddy games with the Sky Kids app and help support your little ones with our educational collections. Get started Sky Mobile Sky Mobile Explore a world of possibilities with Sky Mobile, the only network that lets you roll over all your unused data, swap your phone each year and mix your plan whenever you like. Plus, you can watch Sky TV on-the-go without using your data. Find out more Sky Cinema premieres Sky Cinema premieres Enjoy exclusive premieres on Sky before any other subscription service, plus over 1,000 movies on demand . Watch whenever you want, with HD movies at no extra cost, and pop-up channels dedicated to stars, themes or events. Get started Disney+ on Sky Q Disney+ on Sky Q Never before seen movies, series and documentaries in one place, easy. Get started Privacy Options Terms & conditions Privacy & cookies notice Accessibility Site map Contact us Complaints Sky Group © 2020 Sky UK UK ROI"
90480,20200612,sky.com,https://www.sky.com/,text/html,text/html,en,"Sky TV, Broadband & Mobile | News, Sports & Movies | Sky.com Toggle Menu Sky Skip to ""Home"" navigation Skip to search Skip to notifications Skip to content Search Close Close Find & Watch TV Products & Packages My Account Help Search sky.com Contact us Email Notifications 0 Sky Yahoo email Sign in Sky.com Homepage Sport is back Early bird offer: Don't miss a match with Sky TV & Sky Sports, as the Premier League returns 17 June. £48 £39a month for 18 months Prices may change during this period. Set-up: £20 Join now Find out more Sky Ultimate TV The best of Sky TV and Netflix, all in one place on Sky Q. Easy. £25a month for 18 months Prices may change during this period. Set-up: £20 Join now See all bundles Superfast Broadband With our Speed Guarantee as standard, we'll guarantee you get the speed we promised or money back. £27a month for 18 months Prices may change during this period. Set-up: up to £19.95 Join now See all offers 1 2 3 TV Discover Sky TV Enjoy endless entertainment The biggest Sky TV and Netflix series, live and on demand Plus YouTube, Spotify, BBC iPlayer, ITV Hub, All 4 - all in one place Then add Sky Cinema, Kids TV channels & more Build your Sky packageSee offers Close Broadband Superfast fibre Superfast Sky Broadband Enjoy our superfast average download speeds of 59Mbps Totally unlimited to keep the whole house online Perfect for streaming and gaming Check availabilityLearn more Close Mobile Browse phones Sky Mobile - Uswitch Network of the Year Spare data rolls into your Sky Piggybank for up to 3 years Watch Sky TV on-the-go without using your data Switch in an instant. Text PAC to 65075 - we’ll take care of the rest Explore our phonesSee Mobile deals Close Better together Sky TV and Superfast broadband £39 a month The comeback starts here The comeback starts here Sports is back. We’ve got a lot of catching up to do. The Premier League is set to return on 17 June, with 39 games exclusively live on Sky over the next two months. Plus the return of PGA Tour golf, Sanzaar Super Rugby and more throughout June. Find out more Expand your world Want to expand your world? Uncover the story behind the story with new Sky Documentaries, access over 500 episodes of breathtaking shows with new Sky Nature, and discover more than ever before with new-look Sky History. All available now. Find out more Sky Kids TV Sky Kids TV Keep the children entertained with their favourite shows - including Peppa Pig and SpongeBob Squarepants - with 11 kids TV channels and over 5,000 episodes on demand. Plus, stream shows wherever you go, download fun Sky Buddy games with the Sky Kids app and help support your little ones with our educational collections. Get started Sky Mobile Sky Mobile Explore a world of possibilities with Sky Mobile, the only network that lets you roll over all your unused data, swap your phone each year and mix your plan whenever you like. Plus, you can watch Sky TV on-the-go without using your data. Find out more Sky Cinema premieres Sky Cinema premieres Enjoy exclusive premieres on Sky before any other subscription service, plus over 1,000 movies on demand . Watch whenever you want, with HD movies at no extra cost, and pop-up channels dedicated to stars, themes or events. Get started Disney+ on Sky Q Disney+ on Sky Q Never before seen movies, series and documentaries in one place, easy. Get started Privacy Options Terms & conditions Privacy & cookies notice Accessibility Site map Contact us Complaints Sky Group © 2020 Sky UK UK ROI"
101622,20200619,sky.com,https://www.sky.com/,text/html,text/html,en,"Sky TV, Broadband & Mobile | News, Sports & Movies | Sky.com Toggle Menu Sky Skip to ""Home"" navigation Skip to search Skip to notifications Skip to content Search Close Close Find & Watch TV Products & Packages My Account Help Search sky.com Contact us Email Notifications 0 Sky Yahoo email Sign in Sky.com Homepage Sport is back Comeback special: Premier League returns with Sky TV & Sky Sports. Don't miss another match - start watching today. £48 £39a month for 18 months Prices may change during this period. Set-up: £20 Join now Find out more Sky Ultimate TV The best of Sky TV and Netflix, all in one place on Sky Q. Easy. £25a month for 18 months Prices may change during this period. Set-up: £20 Join now See all bundles Superfast Broadband With our Speed Guarantee as standard, we'll guarantee you get the speed we promised or money back. £27a month for 18 months Prices may change during this period. Set-up: up to £19.95 Join now See all offers 1 2 3 TV Discover Sky TV Enjoy endless entertainment The biggest Sky TV and Netflix series, live and on demand Plus YouTube, Spotify, BBC iPlayer, ITV Hub, All 4 - all in one place Then add Sky Cinema, Kids TV channels & more Build your Sky packageSee offers Close Broadband Superfast fibre Superfast Sky Broadband Enjoy our superfast average download speeds of 59Mbps Totally unlimited to keep the whole house online Perfect for streaming and gaming Check availabilityLearn more Close Mobile Browse phones Sky Mobile - Uswitch Network of the Year Spare data rolls into your Sky Piggybank for up to 3 years Watch Sky TV on-the-go without using your data Switch in an instant. Text PAC to 65075 - we’ll take care of the rest Explore our phonesSee Mobile deals Close Better together Sky TV and Superfast broadband £39 a month The comeback starts here The comeback starts here Sports is back. We’ve got a lot of catching up to do. The Premier League returns, with 39 games exclusively live on Sky over the next two months. Plus the return of PGA Tour golf, Sanzaar Super Rugby and more throughout June. Find out more We see. We hear. We commit. We see. We hear. We commit. We stand in solidarity with Black communities in the UK, US and around the world in the fight against racial injustice. Find out more Sky Kids TV Sky Kids TV Keep the children entertained with their favourite shows - including Peppa Pig and SpongeBob Squarepants - with 11 kids TV channels and over 5,000 episodes on demand. Plus, stream shows wherever you go, download fun Sky Buddy games with the Sky Kids app and help support your little ones with our educational collections. Get started Sky Mobile Sky Mobile Explore a world of possibilities with Sky Mobile, the only network that lets you roll over all your unused data, swap your phone each year and mix your plan whenever you like. Plus, you can watch Sky TV on-the-go without using your data. Find out more Sky Cinema premieres Sky Cinema premieres Enjoy exclusive premieres on Sky before any other subscription service, plus over 1,000 movies on demand . Watch whenever you want, with HD movies at no extra cost, and pop-up channels dedicated to stars, themes or events. Get started Disney+ on Sky Q Disney+ on Sky Q Never before seen movies, series and documentaries in one place, easy. Get started Privacy Options Terms & conditions Privacy & cookies notice Accessibility Site map Contact us Complaints Sky Group © 2020 Sky UK UK ROI"
